Seq1,Seq2,Accuracy,Family
AGC_AKT1,STE_STK4,86.30705394190872,STE
AGC_AKT1,STE_SLK,85.45454545454545,STE
AGC_AKT1,STE_PAK4,81.30081300813008,STE
AGC_AKT1,STE_STK10,80.34188034188034,STE
AGC_AKT1,STE_STK25,79.67479674796748,STE
AGC_AKT1,STE_STK26,79.32489451476793,STE
AGC_AKT1,STE_STK24,78.94736842105263,STE
AGC_AKT1,STE_OXSR1,78.82882882882883,STE
AGC_AKT1,STE_PAK6,67.47967479674797,STE
AGC_AKT1,STE_TNIK,60.77586206896552,STE
AGC_AKT1,STE_TAOK3,59.67078189300411,STE
AGC_AKT1,TKL_LIMK1,82.22222222222221,TKL
AGC_AKT1,TKL_LIMK2,81.9047619047619,TKL
AGC_AKT1,TKL_RIPK2,74.77876106194691,TKL
AGC_AKT1,TKL_ILK,69.86301369863014,TKL
AGC_AKT1,TKL_BRAF,64.62882096069869,TKL
AGC_AKT1,TKL_IRAK1,62.31884057971014,TKL
AGC_AKT1,TKL_IRAK4,61.53846153846154,TKL
AGC_AKT1,TKL_RIPK1,59.60591133004927,TKL
AGC_AKT1,TKL_RAF1,59.210526315789465,TKL
AGC_AKT1,TKL_BMPR2,53.813559322033896,TKL
AGC_AKT1,TKL_KSR2,47.29064039408867,TKL
AGC_AKT1,TKL_ACVR1,46.78111587982833,TKL
AGC_AKT1,TYR_ABL2,80.16877637130801,TYR
AGC_AKT1,TYR_ITK,78.0701754385965,TYR
AGC_AKT1,TYR_NTRK3,77.47747747747748,TYR
AGC_AKT1,TYR_EPHB2,76.81818181818181,TYR
AGC_AKT1,TYR_RET,76.44628099173553,TYR
AGC_AKT1,TYR_PTK6,76.33928571428571,TYR
AGC_AKT1,TYR_FGFR2,74.79338842975206,TYR
AGC_AKT1,TYR_EPHB1,74.18032786885246,TYR
AGC_AKT1,TYR_NTRK2,74.00881057268722,TYR
AGC_AKT1,TYR_FES,73.96694214876032,TYR
AGC_AKT1,TYR_SRC,73.93162393162393,TYR
AGC_AKT1,TYR_NTRK1,73.07692307692307,TYR
AGC_AKT1,TYR_FGFR3,72.19917012448133,TYR
AGC_AKT1,TYR_ROR2,71.80616740088107,TYR
AGC_AKT1,TYR_MERTK,71.10091743119266,TYR
AGC_AKT1,TYR_EGFR,68.59504132231406,TYR
AGC_AKT1,TYR_FGFR1,68.46473029045643,TYR
AGC_AKT1,TYR_HCK,66.66666666666666,TYR
AGC_AKT1,TYR_LCK,66.66666666666666,TYR
AGC_AKT1,TYR_EPHB3,65.93886462882097,TYR
AGC_AKT1,TYR_EPHA8,65.4320987654321,TYR
AGC_AKT1,TYR_ZAP70,64.95726495726495,TYR
AGC_AKT1,TYR_ERBB4,64.89795918367346,TYR
AGC_AKT1,TYR_DDR2,63.793103448275865,TYR
AGC_AKT1,TYR_JAK1_2,63.67521367521367,TYR
AGC_AKT1,TYR_FYN,63.22314049586777,TYR
AGC_AKT1,TYR_LYN,63.20346320346321,TYR
AGC_AKT1,TYR_FGFR4,62.28070175438597,TYR
AGC_AKT1,TYR_EPHA5,62.13991769547325,TYR
AGC_AKT1,TYR_EPHA3,60.94420600858369,TYR
AGC_AKT1,TYR_CSK,60.77586206896552,TYR
AGC_AKT1,TYR_EPHA7,60.77586206896552,TYR
AGC_AKT1,TYR_EPHB4,60.25104602510461,TYR
AGC_AKT1,TYR_ABL1,58.67768595041323,TYR
AGC_AKT1,TYR_JAK3_2,58.64978902953587,TYR
AGC_AKT1,TYR_BMX,58.09128630705395,TYR
AGC_AKT1,TYR_TYK2_2,57.20524017467249,TYR
AGC_AKT1,TYR_MET,55.601659751037346,TYR
AGC_AKT1,TYR_ERBB3,55.4054054054054,TYR
AGC_AKT1,TYR_INSR,54.400000000000006,TYR
AGC_AKT1,TYR_ROS1,53.38983050847458,TYR
AGC_AKT1,TYR_BTK,51.91489361702127,TYR
AGC_AKT1,TYR_ERBB2,51.229508196721305,TYR
AGC_AKT1,TYR_JAK2_2,49.137931034482754,TYR
AGC_AKT1,TYR_DDR1,47.63948497854077,TYR
AGC_AKT1,TYR_EPHA2,47.41379310344828,TYR
AGC_AKT1,TYR_FLT3,43.859649122807014,TYR
AGC_AKT1,TYR_IGF1R,42.73504273504273,TYR
AGC_AKT1,TYR_KIT,39.166666666666664,TYR
AGC_AKT1,TYR_ALK,35.3448275862069,TYR
AGC_AKT1,TYR_CSF1R,35.146443514644346,TYR
AGC_AKT1,TYR_JAK1_1,0.0,TYR
AGC_AKT1,TYR_JAK2_1,0.0,TYR
AGC_AKT1,TYR_TYK2_1,0.0,TYR
